District,Location,Types of Operating Hours,"For Vehicles Other Than Medium and Heavy Goods Vehicles, Buses, Motor Cycles and Pedal Cycles ",For Goods Vehicles,For Coaches
KWAI TSING,CHEUNG FAI ROAD,H,2,32,0
KWAI TSING,CHEUNG LUNG STREET,H,0,4,0
KWAI TSING,CHEUNG TAT ROAD,H,6,0,0
KWAI TSING,FUNG SHUE WO ROAD,Q,7,0,0
KWAI TSING,KA TING ROAD,D,3,0,0
KWAI TSING,KO FONG STREET,D,13,0,0
KWAI TSING,KWAI CHEONG ROAD,H,0,0,2
KWAI TSING,KWAI FAT ROAD,H,0,3,0
KWAI TSING,KWAI SAU ROAD,H,0,2,0
KWAI TSING,KWAI SAU ROAD CAR PARK,D,27,0,0
KWAI TSING,KWAI SAU ROAD CAR PARK,H,0,13,0
KWAI TSING,KWAI TAK STREET,H,0,8,0
KWAI TSING,KWAI TING ROAD,D,6,0,0
KWAI TSING,KWAI WING ROAD,H,0,8,0
KWAI TSING,KWAI WING ROAD CAR PARK,D,11,0,0
KWAI TSING,KWAI WO STREET,H,0,7,0
KWAI TSING,KWONG FAI CIRCUIT,D,36,0,0
KWAI TSING,KWONG FAI CIRCUIT,H,0,5,0
KWAI TSING,KWONG FAI LANE,D,17,0,0
KWAI TSING,LAI FONG STREET,H,0,5,0
KWAI TSING,LAI LEI FA STREET,D,7,2,0
KWAI TSING,Lantau Link Viewing Platform C/P,H,24,0,0
KWAI TSING,SHEK LI STREET,D,5,0,0
KWAI TSING,SHEK PUI STREET,D,6,0,0
KWAI TSING,SHEK TAU STREET,D,23,0,0
KWAI TSING,SHEK YAM ROAD ,D,14,0,0
KWAI TSING,SHEK YAM ROAD CAR PARK ,D,33,0,0
KWAI TSING,SHING FONG STREET,D,13,0,0
KWAI TSING,SHING YIU STREET,H,5,0,0
KWAI TSING,SHUN FONG STREET,H,0,8,0
KWAI TSING,TA CHUEN PING STREET CAR PARK,D,24,0,0
KWAI TSING,TA CHUEN PING STREET CAR PARK,H,0,2,0
KWAI TSING,TAI HA STREET,H,0,6,0
KWAI TSING,TAI LOONG STREET CAR PARK 1,D,35,0,0
KWAI TSING,TAI LOONG STREET CAR PARK 2,D,20,0,0
KWAI TSING,TAI LOONG STREET CAR PARK 3,D,15,0,0
KWAI TSING,TAI WO HAU ROAD,D,12,0,0
KWAI TSING,TAI YUEN STREET,H,0,15,0
KWAI TSING,WING FONG ROAD,D,13,0,0
KWAI TSING,WO YI HOP ROAD,D,7,0,0
KWAI TSING,YAN FONG STREET,H,0,3,0
TSUEN WAN,A.C.P. EXHIBITION CENTRE CAR PARK,Q,0,0,0
TSUEN WAN,CASTLE PEAK ROAD - TING KAU,Q,22,0,0
TSUEN WAN,CASTLE PEAK ROAD - TSING LUNG TAU,Q,0,0,0
TSUEN WAN,CHUNG ON STREET,D,19,0,0
TSUEN WAN,FUI YIU KOK STREET,D,4,0,0
TSUEN WAN,HAM TIN STREET,D,4,0,0
TSUEN WAN,HAU TEI SQUARE,D,13,0,0
TSUEN WAN,HEUNG CHE STREET,D,12,0,0
TSUEN WAN,HEUNG WO STREET,D,89,0,0
TSUEN WAN,HOI PA STREET,D,14,0,0
TSUEN WAN,KWU HANG ROAD,H,0,3,0
TSUEN WAN,LEI SHU ROAD,D,8,0,0
TSUEN WAN,LO TAK COURT,D,85,0,0
TSUEN WAN,LO TAK COURT,H,0,25,0
TSUEN WAN,LO WAI ROAD,Q,0,0,5
TSUEN WAN,LO WAI ROAD CAR PARK 1,Q,28,0,0
TSUEN WAN,LO WAI ROAD CAR PARK 2,Q,9,0,0
TSUEN WAN,MARKET STREET,D,8,0,0
TSUEN WAN,PUN SHAN STREET,D,8,0,0
TSUEN WAN,SHA TSUI ROAD,D,8,0,0
TSUEN WAN,SHIU WO STREET,D,6,0,0
TSUEN WAN,TAI PEI SQUARE,D,24,0,0
TSUEN WAN,TAI UK  STREET ,D,20,0,0
TSUEN WAN,TAI UK  STREET ,H,0,1,0
TSUEN WAN,TING KAU CAR PARK,Q,24,0,0
TSUEN WAN,TSO KUNG STREET,H,0,4,0
TSUEN WAN,TSUEN KWAI STREET,D,5,0,0
TSUEN WAN,TSUEN WING STREET,H,0,2,0
TSUEN WAN,TUNG WO STREET ,Q,6,0,0
TSUEN WAN,TUNG WO STREET C/P 1,Q,16,0,0
TSUEN WAN,TUNG WO STREET C/P 2,Q,8,0,0
TSUEN WAN,TUNG WO STREET C/P 3,Q,8,0,0
TSUEN WAN,TUNG WO STREET C/P 4,Q,18,0,0
TUEN MUN,BUTTERFLY BEACH CAR PARK,Q,143,0,9
TUEN MUN,CASTLE PEAK ROAD - TAI LAM,Q,10,0,0
TUEN MUN,CASTLE PEAK ROAD CAR PARK - CASTLE PEAK BAY ROAD (NEAR CAFETERIA BEACH),Q,65,0,5
TUEN MUN,CASTLE PEAK ROAD CAR PARK - CASTLE PEAK BAY ROAD (NEAR GOLD COAST),D,159,0,0
TUEN MUN,FUNG ON STREET CAR PARK,Q,5,7,0
TUEN MUN,HO HOI STREET,Q,0,14,0
TUEN MUN,HO PONG STREET,Q,4,9,0
TUEN MUN,HOI WAH ROAD,Q,0,19,0
TUEN MUN,HUNG CHEUNG ROAD CAR PARK,Q,0,36,0
TUEN MUN,KADOORIE BEACH CAR PARK,Q,12,0,0
TUEN MUN,KIN FAT STREET,Q,0,4,0
TUEN MUN,KIN FUNG CIRCUIT,Q,0,12,5
TUEN MUN,KIN ON STREET CAR PARK,Q,24,0,0
TUEN MUN,KING FUNG PATH,Q,33,0,0
TUEN MUN,LAM TEI MAIN STREET,Q,8,0,0
TUEN MUN,LEUNG TAK STREET ,Q,4,0,0
TUEN MUN,LEUNG WAN STREET,Q,10,0,0
TUEN MUN,LUK YUEN STREET CAR PARK,Q,18,0,0
TUEN MUN,LUNG CHAK ROAD,Q,15,0,0
TUEN MUN,NG LAU ROAD,Q,28,0,0
TUEN MUN,SAM SHING STREET,Q,24,0,0
TUEN MUN,SAN HING ROAD ,Q,6,0,0
TUEN MUN,SAN HING ROAD CAR PARK,Q,16,0,0
TUEN MUN,SAN TSING STREET,Q,9,0,0
TUEN MUN,SAN WO LANE,Q,36,0,0
TUEN MUN,SIU LUN STREET CAR PARK,Q,19,0,0
TUEN MUN,TAK CHING COURT,Q,0,9,0
TUEN MUN,TAT YAN SQUARE,Q,17,0,0
TUEN MUN,TIN TEI YAN ROAD,Q,4,0,0
TUEN MUN,TSENG CHOI STREET,Q,0,3,0
TUEN MUN,TSENG CHOI STREET CAR PARK 1,Q,18,0,0
TUEN MUN,TSENG CHOI STREET CAR PARK 2,Q,14,0,0
TUEN MUN,TSING CHUEN WAI ROAD,Q,12,0,0
TUEN MUN,TSING CHUI PATH,Q,14,0,0
TUEN MUN,TSING FUK LANE,Q,20,0,0
TUEN MUN,TSING HOI CIRCUIT,Q,24,0,0
TUEN MUN,TSING PAK PATH,Q,11,0,0
TUEN MUN,TSING SIN STREET ,Q,11,0,0
TUEN MUN,TSING SIN STREET CAR PARK,Q,56,0,0
TUEN MUN,TSING WU SQUARE,Q,10,0,0
TUEN MUN,TSING WUI STREET ,Q,6,0,0
TUEN MUN,TSING WUI STREET CAR PARK,Q,23,0,0
TUEN MUN,TSING YEUNG CIRCUIT CAR PARK,Q,21,28,4
TUEN MUN,TSING YIN STREET,Q,7,1,0
TUEN MUN,TSING YIN STREET CAR PARK,Q,14,0,0
TUEN MUN,TUEN MUN HEUNG SZE WUI ROAD,Q,4,0,0
TUEN MUN,WU SHAN ROAD,Q,13,0,0
TUEN MUN,YAN CHING STREET,Q,0,2,0
TUEN MUN,YAN OI TONG CAR PARK ,Q,22,0,0
TUEN MUN,YAN OI TONG CIRCUIT,Q,15,0,0
TUEN MUN,YEUNG KING ROAD,Q,8,0,0
TUEN MUN,YEUNG TSING ROAD,Q,9,0,0
TUEN MUN,YIP WONG ROAD,Q,3,0,0
YUEN LONG,CHUN YIN SQUARE,Q,5,0,0
YUEN LONG,FUK WANG STREET CAR PARK,Q,30,0,0
YUEN LONG,FUNG KWAN STREET CAR PARK 1,Q,30,0,0
YUEN LONG,FUNG KWAN STREET CAR PARK 2,Q,22,9,0
YUEN LONG,FUNG LOK LANE,Q,13,6,0
YUEN LONG,FUNG YAU STREET EAST,Q,0,3,0
YUEN LONG,FUNG YAU STREET NORTH CAR PARK,Q,36,8,0
YUEN LONG,HONG YIP STREET CAR PARK,Q,31,25,0
YUEN LONG,HUNG MIN COURT,Q,36,0,0
YUEN LONG,HUNG SHUN ROAD CAR PARK,Q,17,0,0
YUEN LONG,KAM CHEUNG SQAURE,Q,53,6,0
YUEN LONG,KAM SHEUNG ROAD STATION CAR PARK,Q,9,0,2
YUEN LONG,KIN TAK STREET,Q,18,0,0
YUEN LONG,KIN TAK STREET CAR PARK 1,Q,22,13,0
YUEN LONG,KIN TAK STREET CAR PARK 2,Q,15,11,0
YUEN LONG,KIU FAT STREET,Q,2,4,9
YUEN LONG,KIU LOK SQUARE,Q,16,0,0
YUEN LONG,LAM HAU TSUEN ROAD,Q,10,0,0
YUEN LONG,LEUNG YIP STREET CAR PARK,Q,40,34,0
YUEN LONG,LOK MA CHAU ROAD,Q,17,3,2
YUEN LONG,LONG WO ROAD CAR PARK,Q,18,0,0
YUEN LONG,MA TIN ROAD,Q,8,2,0
YUEN LONG,NAM BIN WAI CAR PARK,Q,14,0,0
YUEN LONG,ON CHUN LANE,Q,9,0,0
YUEN LONG,ON HONG ROAD ,Q,15,4,0
YUEN LONG,ON LEUNG LANE,Q,9,0,0
YUEN LONG,ON SHUN STREET,Q,8,2,1
YUEN LONG,PING CHUK LANE,Q,46,7,0
YUEN LONG,PING SHUN STREET,Q,7,0,0
