Year,KWAI TSING,SHA TIN,NORTH,SAI KUNG,TAI PO,TSUEN WAN,TUEN MUN,YUEN LONG
1999,41861,35471,35735,49287,37095,35042,60751,43952
2000,35975,30990,31444,43656,31711,31358,54957,38515
2001,31922,26560,27883,38783,28317,27841,49358,33792
2002,29012,23324,24455,34177,24722,24646,42116,30654
2003,25746,20867,20843,30497,22020,21317,40375,28143
2004,32535,25233,26611,41716,33058,28023,56808,46837
2005,39158,29896,30529,49266,38868,32684,66634,56516
2006,42849,30068,28929,52213,38090,31185,69332,57104
2007,52292,36806,32514,61548,47791,34220,83239,76450
2008,63997,42952,37705,72563,53543,38255,96537,83318
2009,61832,44190,39215,71459,55338,39468,95288,85613
2010,75892,55661,48206,86553,69728,47127,113073,107486
2011,93497,67594,58093,101779,81941,56305,135355,123511
2012,108326,79928,67828,112158,92997,65319,142070,128259
2013,123304,94808,83132,126642,103401,75449,159480,138823
2014,128912,104403,91436,129629,108820,81476,153720,138586
2015,146515,117955,107763,147969,120994,94297,171848,148980
2016,137558,112486,102680,140103,115792,91942,162731,149335
2017,158293,130558,121633,160860,131061,106554,186054,163325
2018,180411,149890,138412,176330,147161,120067,210583,177561
2019,183457,157317,144665,183330,153582,125490,213796,188291
2020,187016,163262,149776,182458,160379,132070,211410,187737
2021,189596,165828,152765,184591,161225,136451,214633,188801
2022,173084,152260,143498,173777,152257,130830,202838,171881
2023,154081,134643,130015,159637,142388,121824,192755,161681
